signal_date,prior_exact_top1_ticker,consensus_count_prior,route_count_prior,candidate_ticker,consensus_count_rebuilt,route_count_rebuilt,exact_trigger_pass,rebuilt_matches_prior_exact_top1,match_policy
2015-01-09,2330,4.0,2.0,2330,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2015-01-16,2330,4.0,2.0,2330,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2015-01-23,2317,4.0,2.0,2317,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2015-01-30,2603,4.0,2.0,2603,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2015-04-30,2316,5.0,2.0,2316,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2015-05-15,3008,4.0,2.0,3008,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2015-10-08,6143,5.0,2.0,6143,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2015-10-16,8433,5.0,2.0,8433,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2016-01-08,2485,5.0,2.0,2485,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2016-01-15,2409,5.0,2.0,2409,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2016-02-26,3324,5.0,2.0,3324,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2016-09-02,6451,4.0,2.0,6451,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2017-01-13,3529,5.0,2.0,3529,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2017-02-03,3346,5.0,2.0,3346,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2017-05-12,1569,4.0,2.0,1569,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2017-08-25,2603,5.0,2.0,2603,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2017-10-27,6121,5.0,2.0,6121,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2017-11-24,6573,5.0,2.0,6573,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2018-03-16,6150,5.0,2.0,6150,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2018-05-18,4190,5.0,2.0,4190,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2018-06-08,3090,5.0,2.0,3090,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2018-06-29,8163,5.0,2.0,8163,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2018-11-09,3563,4.0,2.0,3563,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2019-05-24,2633,5.0,2.0,2633,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2019-09-12,3661,5.0,2.0,3661,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2019-12-06,8040,4.0,2.0,8040,4,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2020-01-10,3260,5.0,2.0,3260,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2020-02-21,3706,5.0,2.0,3706,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2020-04-17,6415,5.0,2.0,6415,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2021-06-18,2636,5.0,2.0,2636,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2021-07-09,2351,5.0,2.0,2351,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2021-12-30,8478,5.0,2.0,8478,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-02-18,6719,5.0,2.0,6719,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-04-08,4736,5.0,2.0,4736,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-04-29,4736,5.0,2.0,4736,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-06-10,1522,5.0,2.0,1522,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-07-01,5904,5.0,2.0,5904,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-07-29,2419,5.0,2.0,2419,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-08-12,6796,5.0,2.0,6796,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-09-08,8069,5.0,2.0,8069,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
2022-11-04,2468,5.0,2.0,2468,5,2,True,True,rebuilt full-period exact trigger must reproduce P1 exact consensus4 top1
