signal_date,transition_date,from_ticker,from_asset_type,to_ticker,to_asset_type,transition_action,sell_price_kind,buy_price_kind,sell_cost_asset_type,buy_cost_asset_type,transition_price_ready,diagnostic_notional_twd,sell_cost_twd,buy_cost_twd,total_transition_cost_twd,transition_cost_rate_proxy,cost_model_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,2015-01-12,00631L,etf,2330,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2330,stock,2317,stock,stock_exception_to_stock_exception_switch,unadjusted_close,unadjusted_close,stock,stock,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2317,stock,2603,stock,stock_exception_to_stock_exception_switch,unadjusted_close,unadjusted_close,stock,stock,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2603,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-04-30,2015-05-04,00631L,etf,2316,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-05-08,2015-05-11,2316,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-05-15,2015-05-18,00631L,etf,3008,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-05-22,2015-05-25,3008,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-10-08,2015-10-12,00631L,etf,6143,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-10-16,2015-10-19,6143,stock,8433,stock,stock_exception_to_stock_exception_switch,unadjusted_close,unadjusted_close,stock,stock,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2015-10-23,2015-10-26,8433,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2016-01-08,2016-01-11,00631L,etf,2485,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2016-01-15,2016-01-18,2485,stock,2409,stock,stock_exception_to_stock_exception_switch,unadjusted_close,unadjusted_close,stock,stock,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2016-01-22,2016-01-25,2409,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2016-02-26,2016-03-01,00631L,etf,3324,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2016-03-04,2016-03-07,3324,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
